,Portfolio,Weeks_until_Rebalance,Biweekly_Contribution,Worst_Year,Best_Year,Estimated_Annual_Return,Typical_Returns
183,"'FUSEX', 'IEI', 'PRULX', 'SGGDX', 'GSG'",13.0,350.0,-10.4,15.52,8.66,-5.53 to 11.02
1093,"'SWPPX', 'ITE', 'PRULX', 'SGGDX', 'DJP'",24.0,350.0,-10.17,15.97,8.66,-5.02 to 11.52
3769,"'VFINX', 'IPE', 'WHOSX', 'OPGSX', 'GSP'",39.0,400.0,-14.49,21.05,8.66,-6.97 to 14.08
1008,"'FUSEX', 'IPE', 'WHOSX', 'SGGDX', 'GSP'",24.0,400.0,-13.76,19.14,8.66,-6.85 to 12.86
4110,"'VIGRX', 'IGIB', 'PRULX', 'INIVX', 'DJP'",31.0,400.0,-12.64,20.39,8.66,-5.23 to 13.4
3022,"'SWPPX', 'ITE', 'WHOSX', 'USERX', 'GSG'",48.0,450.0,-10.21,16.28,8.66,-4.66 to 12.01
597,"'SWPPX', 'TIP', 'PRULX', 'OPGSX', 'DBC'",5.0,500.0,-14.99,21.17,8.66,-6.77 to 13.67
912,"'VFINX', 'TIP', 'VUSTX', 'SGGDX', 'GSG'",27.0,500.0,-13.84,17.97,8.66,-6.21 to 12.23
1933,"'VFINX', 'ITE', 'VUSTX', 'USERX', 'DJP'",28.0,500.0,-10.38,15.92,8.66,-4.41 to 12.74
456,"'SWPPX', 'BIV', 'VUSTX', 'OPGSX', 'DJP'",17.0,550.0,-14.44,19.62,8.66,-6.52 to 14.27
3054,"'FUSEX', 'IGIB', 'WHOSX', 'OPGSX', 'GSP'",18.0,550.0,-12.75,18.84,8.66,-6.24 to 12.17
620,"'VIGRX', 'BIV', 'WHOSX', 'OPGSX', 'GSG'",49.0,550.0,-12.51,19.83,8.66,-6.45 to 14.16
4421,"'VIGRX', 'IEI', 'VUSTX', 'VGPMX', 'GSP'",36.0,600.0,-12.49,18.65,8.66,-5.34 to 13.0
94,"'VIGRX', 'IGIB', 'PRULX', 'USERX', 'DJP'",26.0,600.0,-12.11,19.68,8.66,-4.49 to 13.1
1785,"'VIGRX', 'ITE', 'WHOSX', 'USERX', 'GSG'",14.0,600.0,-10.82,17.28,8.66,-4.33 to 11.68
4044,"'SWPPX', 'IEI', 'WHOSX', 'SGGDX', 'GSP'",29.0,600.0,-9.93,15.54,8.66,-5.85 to 10.48
1165,"'VIGRX', 'IPE', 'PRULX', 'OPGSX', 'GSG'",35.0,700.0,-15.36,21.92,8.66,-5.85 to 14.59
1269,"'FUSEX', 'BIV', 'PRULX', 'OPGSX', 'DJP'",1.0,700.0,-13.92,19.78,8.66,-6.42 to 13.43
4017,"'SWPPX', 'TIP', 'VUSTX', 'USERX', 'DJP'",49.0,750.0,-14.33,19.69,8.66,-5.82 to 14.62
535,"'VFINX', 'BIV', 'WHOSX', 'OPGSX', 'DJP'",4.0,750.0,-13.48,19.19,8.66,-6.64 to 13.63
2302,"'FUSEX', 'TIP', 'PRULX', 'SGGDX', 'DJP'",26.0,750.0,-13.36,18.43,8.66,-6.46 to 12.36
148,"'PREIX', 'IEF', 'PRULX', 'INIVX', 'DJP'",23.0,750.0,-11.63,17.32,8.66,-5.84 to 12.34
4408,"'VFINX', 'IEI', 'VUSTX', 'INIVX', 'GSG'",38.0,800.0,-11.53,16.21,8.66,-5.84 to 11.81
3476,"'FUSEX', 'IEI', 'VUSTX', 'SGGDX', 'DBC'",14.0,800.0,-10.05,16.49,8.66,-4.79 to 11.37
3369,"'FUSEX', 'IEI', 'VUSTX', 'INIVX', 'DBC'",37.0,850.0,-11.01,17.3,8.66,-5.49 to 12.99
3351,"'PREIX', 'IPE', 'VUSTX', 'USERX', 'DBC'",6.0,900.0,-14.51,19.48,8.66,-5.74 to 14.05
4478,"'VIGRX', 'IGIB', 'PRULX', 'OPGSX', 'DBC'",49.0,900.0,-13.49,21.0,8.66,-5.02 to 14.6
2162,"'FUSEX', 'IEI', 'VUSTX', 'USERX', 'DJP'",20.0,900.0,-10.96,15.06,8.66,-4.34 to 12.01
534,"'PREIX', 'IEI', 'PRULX', 'VGPMX', 'GSP'",7.0,950.0,-13.48,18.21,8.66,-5.99 to 12.28
1905,"'PREIX', 'IEF', 'PRULX', 'INIVX', 'DBC'",50.0,950.0,-10.95,16.69,8.66,-6.17 to 12.81
1748,"'PREIX', 'IEI', 'WHOSX', 'INIVX', 'DJP'",19.0,1000.0,-10.3,16.28,8.66,-6.09 to 12.05
1745,"'SWPPX', 'IGIB', 'VUSTX', 'USERX', 'DBC'",45.0,100.0,-13.37,19.76,8.65,-4.95 to 13.67
1493,"'PREIX', 'IEI', 'PRULX', 'VGPMX', 'DBC'",27.0,100.0,-11.43,17.56,8.65,-5.83 to 12.69
601,"'PREIX', 'BIV', 'WHOSX', 'INIVX', 'DJP'",24.0,150.0,-12.53,18.77,8.65,-6.95 to 13.35
2873,"'VIGRX', 'IEF', 'PRULX', 'USERX', 'GSP'",41.0,150.0,-11.19,18.3,8.65,-4.83 to 12.56
4901,"'PREIX', 'IEF', 'PRULX', 'SGGDX', 'GSG'",32.0,150.0,-10.79,17.0,8.65,-5.39 to 11.65
4079,"'SWPPX', 'IEF', 'PRULX', 'USERX', 'GSP'",35.0,150.0,-10.24,16.19,8.65,-4.56 to 11.02
4917,"'VIGRX', 'IGIB', 'VUSTX', 'INIVX', 'GSP'",35.0,300.0,-14.18,20.66,8.65,-5.94 to 14.66
2907,"'SWPPX', 'TIP', 'WHOSX', 'SGGDX', 'DJP'",37.0,300.0,-13.14,18.99,8.65,-6.59 to 12.3
919,"'FUSEX', 'ITE', 'WHOSX', 'INIVX', 'GSG'",46.0,300.0,-10.93,16.39,8.65,-6.49 to 11.77
1442,"'FUSEX', 'IPE', 'PRULX', 'USERX', 'GSP'",1.0,350.0,-14.92,19.99,8.65,-6.23 to 13.45
1848,"'FUSEX', 'IGIB', 'VUSTX', 'OPGSX', 'GSP'",46.0,350.0,-14.72,20.04,8.65,-6.71 to 11.95
1953,"'SWPPX', 'IEI', 'PRULX', 'INIVX', 'GSG'",50.0,350.0,-11.19,17.18,8.65,-5.83 to 12.5
1856,"'PREIX', 'ITE', 'WHOSX', 'USERX', 'GSG'",25.0,350.0,-10.22,16.12,8.65,-4.39 to 11.37
4039,"'PREIX', 'TIP', 'WHOSX', 'SGGDX', 'DJP'",44.0,400.0,-13.01,19.29,8.65,-6.8 to 12.82
1176,"'FUSEX', 'BIV', 'VUSTX', 'SGGDX', 'GSP'",29.0,400.0,-12.9,18.24,8.65,-6.28 to 13.2
1429,"'PREIX', 'IEF', 'WHOSX', 'OPGSX', 'GSG'",23.0,400.0,-11.52,18.03,8.65,-6.07 to 12.4
1523,"'SWPPX', 'ITE', 'VUSTX', 'INIVX', 'GSP'",36.0,400.0,-11.33,16.71,8.65,-6.12 to 11.97
2978,"'VIGRX', 'TIP', 'WHOSX', 'SGGDX', 'DJP'",32.0,450.0,-12.53,20.62,8.65,-6.39 to 13.49
2272,"'VFINX', 'IEI', 'PRULX', 'SGGDX', 'DJP'",34.0,500.0,-10.52,15.81,8.65,-4.76 to 11.14
4773,"'PREIX', 'BIV', 'WHOSX', 'OPGSX', 'DJP'",20.0,550.0,-13.32,19.07,8.65,-6.86 to 13.37
1723,"'VFINX', 'IEI', 'VUSTX', 'USERX', 'GSP'",41.0,550.0,-11.6,15.5,8.65,-4.58 to 11.86
1339,"'PREIX', 'IEF', 'PRULX', 'SGGDX', 'GSG'",3.0,550.0,-11.04,17.26,8.65,-5.31 to 11.23
139,"'PREIX', 'IEI', 'WHOSX', 'INIVX', 'DJP'",35.0,550.0,-10.87,16.5,8.65,-5.19 to 11.83
779,"'FUSEX', 'IEI', 'WHOSX', 'VGPMX', 'GSG'",1.0,600.0,-13.04,17.65,8.65,-5.63 to 11.89
2321,"'SWPPX', 'IEI', 'VUSTX', 'OPGSX', 'DJP'",10.0,600.0,-12.01,17.97,8.65,-5.69 to 13.02
1195,"'PREIX', 'IEI', 'VUSTX', 'INIVX', 'DJP'",40.0,600.0,-11.09,17.24,8.65,-5.13 to 13.26
2923,"'FUSEX', 'IEF', 'VUSTX', 'USERX', 'GSG'",27.0,600.0,-11.04,16.57,8.65,-5.65 to 11.94
951,"'VFINX', 'TIP', 'PRULX', 'VGPMX', 'DBC'",43.0,650.0,-15.24,20.53,8.65,-6.44 to 14.31
3648,"'SWPPX', 'TIP', 'PRULX', 'SGGDX', 'GSG'",50.0,650.0,-13.59,19.02,8.65,-5.81 to 12.72
171,"'FUSEX', 'IGIB', 'VUSTX', 'OPGSX', 'GSP'",47.0,700.0,-14.66,19.77,8.65,-6.43 to 12.75
4196,"'PREIX', 'IPE', 'VUSTX', 'INIVX', 'DBC'",18.0,700.0,-13.07,20.31,8.65,-6.53 to 14.64
3533,"'SWPPX', 'IEF', 'VUSTX', 'VGPMX', 'DBC'",45.0,750.0,-11.65,19.42,8.65,-5.96 to 13.89
3040,"'SWPPX', 'IEI', 'WHOSX', 'OPGSX', 'GSP'",51.0,800.0,-10.61,16.07,8.65,-6.1 to 11.44
982,"'FUSEX', 'IEF', 'VUSTX', 'SGGDX', 'DJP'",6.0,800.0,-10.58,16.63,8.65,-5.34 to 11.59
248,"'VIGRX', 'IPE', 'VUSTX', 'VGPMX', 'DJP'",44.0,850.0,-15.29,21.9,8.65,-5.93 to 15.02
3380,"'VFINX', 'IEF', 'PRULX', 'VGPMX', 'GSP'",40.0,850.0,-12.39,18.57,8.65,-5.65 to 12.73
1902,"'VFINX', 'IEF', 'PRULX', 'INIVX', 'DJP'",8.0,850.0,-10.99,17.57,8.65,-6.46 to 12.5
2217,"'VIGRX', 'IPE', 'VUSTX', 'OPGSX', 'GSP'",23.0,950.0,-15.73,21.85,8.65,-6.62 to 14.81
1371,"'VIGRX', 'IPE', 'PRULX', 'USERX', 'DBC'",42.0,950.0,-14.17,20.91,8.65,-6.26 to 14.16
4464,"'PREIX', 'IEI', 'WHOSX', 'VGPMX', 'GSP'",46.0,950.0,-11.26,17.02,8.65,-6.27 to 11.88
867,"'VIGRX', 'IEF', 'VUSTX', 'SGGDX', 'GSG'",46.0,950.0,-10.21,17.75,8.65,-5.5 to 12.13
4723,"'SWPPX', 'IGIB', 'PRULX', 'USERX', 'GSP'",26.0,1000.0,-13.19,18.88,8.65,-5.79 to 12.66
538,"'PREIX', 'IGIB', 'WHOSX', 'SGGDX', 'GSG'",43.0,1000.0,-12.21,18.51,8.65,-5.56 to 12.48
4969,"'FUSEX', 'TIP', 'VUSTX', 'OPGSX', 'DBC'",24.0,100.0,-14.12,20.57,8.64,-6.8 to 14.13
4135,"'PREIX', 'BIV', 'WHOSX', 'USERX', 'DJP'",3.0,100.0,-12.94,18.12,8.64,-6.24 to 13.27
2575,"'SWPPX', 'TIP', 'VUSTX', 'INIVX', 'DBC'",2.0,150.0,-14.57,20.88,8.64,-6.82 to 14.13
2526,"'FUSEX', 'ITE', 'VUSTX', 'OPGSX', 'DBC'",5.0,200.0,-12.3,17.39,8.64,-5.65 to 12.65
1362,"'PREIX', 'BIV', 'VUSTX', 'SGGDX', 'GSG'",18.0,200.0,-12.12,18.39,8.64,-5.66 to 12.75
2200,"'FUSEX', 'ITE', 'VUSTX', 'INIVX', 'DBC'",23.0,200.0,-11.57,16.85,8.64,-5.93 to 12.28
1928,"'PREIX', 'IEI', 'VUSTX', 'INIVX', 'DBC'",36.0,200.0,-10.28,16.43,8.64,-6.06 to 12.57
3460,"'VFINX', 'IEI', 'PRULX', 'INIVX', 'DBC'",13.0,250.0,-10.9,17.13,8.64,-5.25 to 12.35
1690,"'VFINX', 'IEI', 'WHOSX', 'USERX', 'DJP'",11.0,250.0,-10.05,16.18,8.64,-4.43 to 11.26
2110,"'PREIX', 'TIP', 'WHOSX', 'SGGDX', 'DJP'",40.0,300.0,-12.83,19.37,8.64,-6.17 to 12.8
4563,"'VFINX', 'BIV', 'PRULX', 'OPGSX', 'DJP'",9.0,300.0,-12.65,19.08,8.64,-5.88 to 13.34
2704,"'SWPPX', 'ITE', 'WHOSX', 'OPGSX', 'DJP'",36.0,300.0,-10.32,16.27,8.64,-5.37 to 12.05
4505,"'VIGRX', 'IGIB', 'PRULX', 'OPGSX', 'DJP'",33.0,350.0,-14.16,20.61,8.64,-5.46 to 13.62
288,"'VIGRX', 'TIP', 'WHOSX', 'VGPMX', 'GSG'",50.0,350.0,-12.78,20.83,8.64,-5.59 to 14.05
726,"'VFINX', 'IEI', 'WHOSX', 'INIVX', 'DJP'",43.0,350.0,-10.25,17.17,8.64,-5.87 to 12.85
4967,"'SWPPX', 'IGIB', 'PRULX', 'OPGSX', 'DBC'",25.0,400.0,-13.35,20.09,8.64,-5.63 to 14.01
4105,"'VFINX', 'IPE', 'PRULX', 'OPGSX', 'GSP'",47.0,450.0,-15.19,21.13,8.64,-6.58 to 14.66
3374,"'VFINX', 'TIP', 'PRULX', 'USERX', 'GSP'",26.0,450.0,-14.57,19.61,8.64,-6.1 to 13.03
2484,"'PREIX', 'IGIB', 'VUSTX', 'INIVX', 'GSP'",40.0,500.0,-14.22,20.13,8.64,-6.67 to 13.96
616,"'SWPPX', 'IEI', 'VUSTX', 'OPGSX', 'GSG'",11.0,500.0,-12.0,17.33,8.64,-5.92 to 12.49
2197,"'VIGRX', 'ITE', 'VUSTX', 'OPGSX', 'DJP'",6.0,500.0,-11.72,18.28,8.64,-5.02 to 13.08
862,"'FUSEX', 'IPE', 'PRULX', 'SGGDX', 'DBC'",6.0,550.0,-14.03,19.67,8.64,-6.45 to 12.74
109,"'VFINX', 'IGIB', 'PRULX', 'OPGSX', 'DBC'",8.0,550.0,-13.61,19.5,8.64,-5.9 to 13.05
2478,"'VFINX', 'IGIB', 'PRULX', 'SGGDX', 'DJP'",44.0,550.0,-13.07,18.85,8.64,-5.59 to 12.55
2454,"'VIGRX', 'TIP', 'PRULX', 'OPGSX', 'GSP'",19.0,600.0,-15.12,21.43,8.64,-6.31 to 14.38
2494,"'VIGRX', 'BIV', 'WHOSX', 'OPGSX', 'GSP'",10.0,600.0,-14.05,20.76,8.64,-6.74 to 13.94
4811,"'SWPPX', 'IPE', 'VUSTX', 'OPGSX', 'DBC'",36.0,600.0,-13.95,20.63,8.64,-6.63 to 14.54
203,"'VFINX', 'IEI', 'VUSTX', 'OPGSX', 'GSP'",20.0,600.0,-11.8,17.22,8.64,-6.27 to 12.52
4283,"'VIGRX', 'IPE', 'WHOSX', 'SGGDX', 'DBC'",23.0,650.0,-13.09,20.24,8.64,-6.87 to 13.49
1252,"'SWPPX', 'ITE', 'VUSTX', 'USERX', 'DJP'",25.0,650.0,-10.97,15.43,8.64,-4.72 to 12.17
2324,"'FUSEX', 'TIP', 'VUSTX', 'OPGSX', 'GSG'",28.0,700.0,-15.14,20.97,8.64,-7.16 to 14.69
2667,"'VFINX', 'TIP', 'WHOSX', 'INIVX', 'GSP'",28.0,700.0,-13.96,20.64,8.64,-7.0 to 14.05
1617,"'VFINX', 'IEF', 'VUSTX', 'VGPMX', 'DBC'",46.0,750.0,-11.5,17.52,8.64,-5.45 to 12.55
974,"'VIGRX', 'IEF', 'PRULX', 'USERX', 'DJP'",17.0,750.0,-10.97,17.87,8.64,-5.45 to 12.32
4517,"'PREIX', 'IPE', 'VUSTX', 'SGGDX', 'GSP'",5.0,800.0,-14.72,19.05,8.64,-6.64 to 13.09
1122,"'PREIX', 'TIP', 'WHOSX', 'USERX', 'GSP'",17.0,800.0,-14.47,19.55,8.64,-6.11 to 12.71
4763,"'VIGRX', 'IGIB', 'PRULX', 'OPGSX', 'GSG'",22.0,900.0,-14.33,21.1,8.64,-5.56 to 12.59
1038,"'FUSEX', 'IEI', 'WHOSX', 'INIVX', 'DJP'",16.0,900.0,-10.65,17.15,8.64,-6.29 to 12.29
914,"'PREIX', 'IEI', 'PRULX', 'SGGDX', 'GSP'",32.0,900.0,-10.52,17.12,8.64,-5.35 to 11.82
4981,"'VIGRX', 'BIV', 'WHOSX', 'VGPMX', 'GSP'",14.0,950.0,-14.28,20.65,8.64,-6.22 to 14.07
1420,"'SWPPX', 'IEF', 'VUSTX', 'OPGSX', 'DJP'",3.0,950.0,-12.17,18.35,8.64,-5.85 to 13.41
4883,"'VFINX', 'IPE', 'WHOSX', 'USERX', 'GSG'",17.0,1000.0,-14.33,19.58,8.64,-6.18 to 12.68
608,"'FUSEX', 'IEI', 'PRULX', 'OPGSX', 'GSG'",33.0,1000.0,-12.32,16.32,8.64,-5.61 to 12.04
3964,"'FUSEX', 'IEI', 'PRULX', 'USERX', 'DBC'",24.0,1000.0,-10.15,16.21,8.64,-4.61 to 11.7
4023,"'VFINX', 'TIP', 'WHOSX', 'INIVX', 'DBC'",25.0,100.0,-13.61,20.78,8.63,-6.82 to 14.51
4959,"'VFINX', 'TIP', 'WHOSX', 'USERX', 'DBC'",30.0,100.0,-13.5,19.93,8.63,-6.3 to 13.74
386,"'VFINX', 'IEI', 'VUSTX', 'OPGSX', 'GSP'",34.0,100.0,-12.57,18.28,8.63,-5.71 to 12.59
1783,"'VIGRX', 'IPE', 'PRULX', 'VGPMX', 'GSP'",52.0,150.0,-15.01,20.73,8.63,-6.01 to 14.81
861,"'PREIX', 'IPE', 'PRULX', 'USERX', 'DBC'",40.0,150.0,-13.99,20.0,8.63,-5.83 to 14.16
3691,"'SWPPX', 'IEF', 'PRULX', 'INIVX', 'GSP'",11.0,150.0,-11.73,17.74,8.63,-6.49 to 11.97
752,"'VFINX', 'IEF', 'WHOSX', 'VGPMX', 'DBC'",36.0,150.0,-11.27,16.36,8.63,-5.7 to 11.65
2159,"'FUSEX', 'TIP', 'WHOSX', 'USERX', 'DBC'",46.0,200.0,-13.25,18.87,8.63,-6.22 to 13.3
3652,"'VFINX', 'IEF', 'VUSTX', 'USERX', 'GSP'",22.0,200.0,-10.95,17.46,8.63,-4.87 to 11.99
2635,"'VFINX', 'ITE', 'WHOSX', 'OPGSX', 'DJP'",39.0,200.0,-10.7,16.91,8.63,-5.6 to 12.33
425,"'VFINX', 'IEI', 'PRULX', 'OPGSX', 'DBC'",20.0,250.0,-11.1,17.22,8.63,-5.5 to 12.75
1084,"'VFINX', 'IEF', 'PRULX', 'OPGSX', 'DJP'",14.0,300.0,-11.91,17.57,8.63,-5.92 to 12.73
1276,"'PREIX', 'IEI', 'WHOSX', 'USERX', 'GSP'",12.0,300.0,-10.47,16.48,8.63,-4.87 to 11.34
2088,"'FUSEX', 'IEI', 'WHOSX', 'USERX', 'DJP'",21.0,300.0,-10.16,15.87,8.63,-4.26 to 11.8
3837,"'SWPPX', 'TIP', 'PRULX', 'INIVX', 'GSG'",29.0,400.0,-14.98,19.6,8.63,-6.97 to 13.17
2838,"'FUSEX', 'IPE', 'VUSTX', 'USERX', 'GSP'",18.0,400.0,-14.39,20.14,8.63,-6.11 to 13.44
1894,"'VFINX', 'TIP', 'WHOSX', 'USERX', 'DBC'",10.0,400.0,-13.83,19.21,8.63,-6.33 to 12.94
2274,"'VFINX', 'IEF', 'VUSTX', 'USERX', 'GSP'",27.0,400.0,-11.13,16.64,8.63,-5.76 to 12.11
2452,"'SWPPX', 'IEI', 'WHOSX', 'INIVX', 'GSP'",44.0,400.0,-10.81,17.34,8.63,-6.43 to 12.71
3067,"'VFINX', 'TIP', 'VUSTX', 'INIVX', 'DBC'",43.0,450.0,-14.75,20.57,8.63,-6.91 to 15.13
2910,"'SWPPX', 'TIP', 'PRULX', 'OPGSX', 'DJP'",37.0,450.0,-14.6,20.46,8.63,-6.73 to 14.14
211,"'PREIX', 'BIV', 'WHOSX', 'OPGSX', 'DBC'",35.0,450.0,-13.31,18.71,8.63,-5.7 to 13.99
4335,"'VFINX', 'IEI', 'PRULX', 'VGPMX', 'DJP'",44.0,450.0,-11.85,17.71,8.63,-5.64 to 12.96
2046,"'SWPPX', 'IEF', 'PRULX', 'SGGDX', 'GSG'",11.0,450.0,-10.97,17.02,8.63,-5.56 to 10.86
3056,"'VFINX', 'IPE', 'WHOSX', 'OPGSX', 'DJP'",30.0,500.0,-14.17,20.66,8.63,-7.03 to 15.19
954,"'PREIX', 'IPE', 'WHOSX', 'USERX', 'DBC'",41.0,500.0,-13.58,19.65,8.63,-6.2 to 13.7
460,"'VIGRX', 'TIP', 'WHOSX', 'SGGDX', 'GSG'",13.0,500.0,-13.01,19.97,8.63,-6.33 to 13.31
3822,"'VIGRX', 'ITE', 'WHOSX', 'VGPMX', 'GSG'",4.0,500.0,-12.7,18.65,8.63,-4.96 to 12.71
646,"'PREIX', 'IEF', 'PRULX', 'INIVX', 'DBC'",26.0,500.0,-10.74,17.17,8.63,-6.09 to 12.49
89,"'VFINX', 'BIV', 'VUSTX', 'INIVX', 'GSG'",30.0,550.0,-13.83,20.14,8.63,-6.5 to 15.11
4829,"'PREIX', 'IGIB', 'PRULX', 'USERX', 'GSP'",47.0,550.0,-13.57,19.3,8.63,-5.45 to 13.03
3714,"'VIGRX', 'IEI', 'PRULX', 'VGPMX', 'GSG'",35.0,550.0,-13.08,18.76,8.63,-4.77 to 12.3
3403,"'FUSEX', 'IEF', 'VUSTX', 'USERX', 'GSP'",33.0,550.0,-10.63,16.59,8.63,-4.87 to 11.68
3198,"'FUSEX', 'IEI', 'PRULX', 'SGGDX', 'GSG'",48.0,550.0,-9.78,15.84,8.63,-5.16 to 11.01
728,"'VIGRX', 'BIV', 'VUSTX', 'SGGDX', 'GSG'",17.0,600.0,-12.63,18.44,8.63,-5.48 to 12.93
2333,"'VFINX', 'IEF', 'PRULX', 'OPGSX', 'GSG'",39.0,600.0,-11.64,18.13,8.63,-5.75 to 12.68
2283,"'VIGRX', 'ITE', 'VUSTX', 'USERX', 'GSP'",36.0,600.0,-11.0,17.16,8.63,-4.34 to 12.26
2690,"'PREIX', 'IEI', 'VUSTX', 'VGPMX', 'GSP'",25.0,650.0,-12.29,17.92,8.63,-6.16 to 12.35
1305,"'VIGRX', 'IEI', 'VUSTX', 'OPGSX', 'GSG'",2.0,650.0,-12.11,19.09,8.63,-4.65 to 13.57
2646,"'VFINX', 'IEF', 'PRULX', 'SGGDX', 'GSG'",26.0,650.0,-10.45,16.52,8.63,-5.88 to 11.02
99,"'PREIX', 'IEF', 'VUSTX', 'SGGDX', 'DJP'",49.0,650.0,-10.35,15.59,8.63,-5.55 to 11.98
1648,"'VFINX', 'TIP', 'PRULX', 'INIVX', 'GSP'",52.0,700.0,-14.46,19.89,8.63,-6.81 to 12.84
3176,"'PREIX', 'TIP', 'PRULX', 'OPGSX', 'DJP'",20.0,750.0,-15.14,20.62,8.63,-6.83 to 13.82
4025,"'PREIX', 'IEF', 'WHOSX', 'VGPMX', 'DJP'",44.0,750.0,-11.34,18.08,8.63,-5.98 to 12.78
340,"'FUSEX', 'IEF', 'PRULX', 'SGGDX', 'DBC'",47.0,800.0,-9.84,16.85,8.63,-5.14 to 11.79
3300,"'VIGRX', 'IEI', 'WHOSX', 'SGGDX', 'GSG'",12.0,800.0,-9.77,16.39,8.63,-5.38 to 11.38
3838,"'PREIX', 'BIV', 'VUSTX', 'USERX', 'DBC'",18.0,850.0,-12.22,18.67,8.63,-5.37 to 13.87
2630,"'VIGRX', 'IPE', 'VUSTX', 'INIVX', 'GSP'",34.0,900.0,-15.38,21.88,8.63,-6.13 to 14.56
3666,"'VIGRX', 'IEI', 'PRULX', 'VGPMX', 'DBC'",41.0,900.0,-11.49,18.11,8.63,-4.28 to 13.51
4990,"'VFINX', 'IEI', 'PRULX', 'SGGDX', 'GSG'",21.0,900.0,-10.32,16.61,8.63,-5.04 to 11.57
1792,"'FUSEX', 'IPE', 'VUSTX', 'OPGSX', 'GSG'",15.0,950.0,-15.21,20.69,8.63,-7.12 to 15.23
2828,"'VIGRX', 'IPE', 'VUSTX', 'INIVX', 'GSP'",37.0,950.0,-15.18,21.38,8.63,-6.29 to 14.64
4651,"'FUSEX', 'IGIB', 'WHOSX', 'OPGSX', 'DJP'",48.0,950.0,-13.16,19.63,8.63,-5.73 to 13.79
4975,"'FUSEX', 'IEI', 'PRULX', 'OPGSX', 'DBC'",5.0,950.0,-11.89,17.24,8.63,-5.58 to 12.31
4643,"'PREIX', 'ITE', 'VUSTX', 'OPGSX', 'DBC'",46.0,1000.0,-11.41,17.6,8.63,-5.21 to 12.63
3475,"'SWPPX', 'ITE', 'VUSTX', 'USERX', 'DJP'",43.0,1000.0,-10.95,16.86,8.63,-4.76 to 12.93
736,"'FUSEX', 'IEI', 'PRULX', 'INIVX', 'DBC'",50.0,1000.0,-10.93,16.92,8.63,-5.89 to 12.44
2288,"'FUSEX', 'TIP', 'WHOSX', 'INIVX', 'DJP'",2.0,100.0,-14.3,20.28,8.62,-7.56 to 13.84
3882,"'FUSEX', 'IEI', 'WHOSX', 'VGPMX', 'GSP'",32.0,100.0,-11.4,18.4,8.62,-5.07 to 12.36
4222,"'FUSEX', 'IEF', 'WHOSX', 'OPGSX', 'DJP'",23.0,100.0,-11.22,17.8,8.62,-6.34 to 12.85
4618,"'PREIX', 'IEF', 'WHOSX', 'SGGDX', 'GSG'",10.0,100.0,-10.85,17.16,8.62,-6.4 to 11.19
638,"'VFINX', 'ITE', 'WHOSX', 'SGGDX', 'GSP'",43.0,100.0,-10.21,15.74,8.62,-5.66 to 10.84
3509,"'FUSEX', 'BIV', 'PRULX', 'USERX', 'GSP'",27.0,150.0,-13.22,18.42,8.62,-5.95 to 12.88
2146,"'VFINX', 'IPE', 'PRULX', 'USERX', 'DJP'",28.0,250.0,-14.0,20.21,8.62,-5.65 to 14.09
2389,"'FUSEX', 'IGIB', 'WHOSX', 'USERX', 'GSG'",52.0,350.0,-12.64,17.35,8.62,-5.23 to 12.04
594,"'VFINX', 'IEI', 'PRULX', 'USERX', 'GSG'",29.0,400.0,-10.84,16.56,8.62,-4.49 to 11.36
3468,"'PREIX', 'BIV', 'WHOSX', 'OPGSX', 'GSG'",39.0,450.0,-13.54,19.34,8.62,-6.23 to 12.57
2785,"'SWPPX', 'IEF', 'WHOSX', 'VGPMX', 'GSG'",12.0,450.0,-12.37,17.44,8.62,-5.53 to 11.42
4592,"'VFINX', 'IEF', 'PRULX', 'VGPMX', 'DJP'",29.0,450.0,-11.78,17.43,8.62,-5.09 to 12.16
3526,"'PREIX', 'ITE', 'PRULX', 'SGGDX', 'DBC'",19.0,450.0,-10.27,15.73,8.62,-5.44 to 10.77
2748,"'FUSEX', 'TIP', 'PRULX', 'SGGDX', 'GSP'",46.0,500.0,-13.92,19.72,8.62,-6.8 to 13.0
4764,"'SWPPX', 'IGIB', 'WHOSX', 'USERX', 'GSP'",25.0,500.0,-13.03,19.04,8.62,-5.64 to 13.74
1330,"'VFINX', 'IGIB', 'PRULX', 'SGGDX', 'DJP'",4.0,500.0,-12.4,18.17,8.62,-5.12 to 12.76
4457,"'PREIX', 'BIV', 'VUSTX', 'OPGSX', 'DBC'",37.0,550.0,-13.21,19.61,8.62,-6.3 to 14.92
1722,"'PREIX', 'IGIB', 'WHOSX', 'SGGDX', 'DBC'",39.0,550.0,-11.21,18.32,8.62,-5.22 to 12.11
3575,"'SWPPX', 'BIV', 'VUSTX', 'OPGSX', 'GSG'",15.0,600.0,-13.93,20.1,8.62,-6.51 to 13.02
845,"'VIGRX', 'ITE', 'PRULX', 'VGPMX', 'GSP'",15.0,600.0,-12.94,19.16,8.62,-5.7 to 13.57
4848,"'PREIX', 'TIP', 'WHOSX', 'OPGSX', 'DJP'",36.0,600.0,-12.83,19.75,8.62,-6.41 to 13.74
98,"'PREIX', 'TIP', 'WHOSX', 'OPGSX', 'DBC'",43.0,700.0,-13.88,20.66,8.62,-7.12 to 14.8
